"decade.decadeID";"decade.mysteryIndex";"decade.decadeNo";"decade.decadeName";"decade.decadeInfo";"decade.infoRefference"
0;0;0;"";"spiritual preparation";""
1;1;1;"The First Joyful Mystery: The Annunciation";"<p>Mary's humility is at the heart of the meditations on the Annunciation. Because Mary humbled herself God exalted her by choosing her to be the Mother of His Son. If you are to make progress in your spiritual life and your relationship with those you love, you must learn to imitate Mary's humility.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
2;2;2;"The Second Joyful Mystery: The Visitation";"<p>In this mystery Mary sets the example of neighborly love. Immediately after the angel told Mary she would be the Mother of Jesus, she went to help her cousin who was also expecting a baby. Mary's response to this great news was to disregard her own needs and share her joy with Elizabeth. You too must share your blessings and joys with those you love. You can start by sharing the Rosary with them.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
3;4;3;"The Third Joyful Mystery: The Nativity";"<p>While Mary and Joseph were in Bethlehem, no one would give them a comfortable place to stay. Jesus had to be born in a stable. Would you have invited them into your home? Have you made room for them in your heart and room for Jesus in your life? The best way to start is by making room for the Rosary in your day.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
4;4;4;"The Fourth Joyful Mystery: The Presentation of Jesus at the Temple";"This mystery shows the importance of being faithful to your duties. Keep your religious obligations without delay, just as Mary and Joseph did when they took the baby Jesus to the temple to offer Him to God as was the Jewish law. Learn to embrace your duties and fulfill them faithfully.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
5;5;5;"The Fifth Joyful Mystery: The Finding of Jesus at the Temple";"<p>Jesus, Mary and Joseph went to Jerusalem in observance of a religious celebration. This mystery teaches your family to live, work and pray together. Praying a family Rosary every day is a sure way of accomplishing this goal.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
6;1;1;"First Luminous Mystery: The Baptism in the Jordan";"<p>When Jesus was baptized He was instituting the sacrament of baptism. This sacrament washes away original sin from your soul and makes you a brother or sister of Jesus and a child of God. As a child of God you are an heir to heaven. To receive heaven as your reward you must make your life a reflection of Jesus' the way Mary did. To accomplish this you must study their lives.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
7;2;2;"Second Luminous Mystery: The wedding at Cana, when Christ manifested himself";"<p>Mary was not only present at Jesus' first miracle at the wedding feast at Cana; He preformed it at her request. Let this be a lesson to you. Mary is the perfect advocate and mother to you because Jesus fulfills every one of Mary's requests. Bring all your worries and concerns to her and she will present them to Jesus her Son on your behalf.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
8;3;3;"Third Luminous Mystery: The Proclamation of the Kingdom";"<p>This mystery which sets Jesus up as King of not only your heart but also of the entire world, begs you to be courageous enough to be a true follower of Jesus in both your personal and public life.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
9;4;4;"Fourth Luminous Mystery: The Transfiguration of our Lord";"<p>This mystery recalls Jesus being transfigured into a glorious state on Mount Tabor. It is a foreshadowing of the glory to come. Let it bring to your mind the glory that awaits you when you pass from this life. You must desire holiness, and you must learn to accept and make the necessary sacrifices to attain it. Remember, without the cross, there is no crown.</p>";"<a href='http://www.how-to-pray-the-rosary-everyday.com/meditations-on-the-rosary.html' target='_blank'>link</a>"
